Benchmark,Queue_Type,Threads,Payload_Size,Queue_Depth,Sample_Count,Mean_Latency_us,Min_Latency_us,Max_Latency_us,Std_Dev_us,Jitter,Avg_Epoch_Flips,Flip_Efficiency,Memory_Overhead_bytes,P50_us,P90_us,P95_us,P99_us,P99_9_us,P99_99_us,Throughput_ops_per_sec
Single-threaded latency,EBR,1,88,0,1000000,0.469453,0.199,19840.3,23.1069,49.2209,0.001968,5.0813e+08,88000024,0.3,0.399,0.4,2.9,13.4,29.8,1.70465e+06
Multi-producer (2P),EBR,3,88,0,1000000,1612.32,0.3,42195.5,6170.58,3.82715,0.008947,1.11769e+08,88000072,56.899,911.586,11110.2,36453.7,41654.5,42082.1,913168
Multi-producer (4P),EBR,5,88,0,1000000,27528.1,0.8,60904.5,18786.2,0.682439,0.013801,7.24585e+07,88000120,23800.2,55347.1,57360.8,59917.6,60629,60834.6,1.38504e+06
Multi-producer (8P),EBR,9,88,0,1000000,167040,91.999,283804,78144.5,0.46782,0.027574,3.6266e+07,88000216,182744,256491,271055,281001,283496,283776,1.37451e+06
Queue depth 0,EBR,1,88,0,100000,0.757657,0.2,37822.3,119.606,157.863,0.00214,4.6729e+07,8800024,0.3,0.4,0.4,2.7,8.2,35.399,1.17081e+06
Queue depth 10,EBR,1,88,10,100000,0.409173,0.199,88.098,0.86681,2.11845,0.00219,4.56621e+07,8800024,0.3,0.4,0.5,3.1,13.3,24,1.98406e+06
Queue depth 100,EBR,1,88,100,100000,0.451492,0.199,122.698,1.02343,2.26676,0.00198,5.05051e+07,8800024,0.3,0.4,0.4,3.1,13.999,26.8,1.82161e+06
Queue depth 1000,EBR,1,88,1000,100000,0.47314,0.299,87.699,1.0914,2.30671,0.00213,4.69484e+07,8800024,0.3,0.4,0.6,3.2,14.3,38.499,1.73528e+06
Queue depth 10000,EBR,1,88,10000,100000,0.463147,0.2,142.498,1.18902,2.56727,0.00283,3.53357e+07,8800024,0.3,0.4,0.5,3.1,14.7,33.499,1.75285e+06
Burst latency (burst=100),EBR,2,88,0,1000,20.9336,3.1,116.998,29.1571,1.39284,0.007,142857,88048,10.4,36.5,104.798,116.598,116.998,116.998,997.551
Burst latency (burst=1000),EBR,2,88,0,10000,139.099,0.8,511.492,125.711,0.903752,0.0084,1.19048e+06,880048,92.298,239.496,496.893,506.792,510.092,511.292,9851.26
Burst latency (burst=10000),EBR,2,88,0,100000,502.13,0.299,3989.84,932.808,1.8577,0.00671,1.49031e+07,8800048,18.8,1740.07,1952.87,3945.54,3984.44,3989.64,94754
16B payload,EBR,1,40,0,100000,0.303998,0.199,80.299,0.939351,3.08999,0.00175,5.71429e+07,4000024,0.2,0.3,0.4,2.7,7.5,49.499,2.43642e+06
256B payload,EBR,1,280,0,100000,1.05115,0.599,193.297,2.09712,1.99507,0.00196,5.10204e+07,28000024,0.7,1.2,3.399,6.4,23.499,75.498,817654
1KB payload,EBR,1,1048,0,100000,4.05176,2.599,216.297,4.18844,1.03373,0.00198,5.05051e+07,104800024,2.7,5.6,7.699,20.699,47,144.298,225547
4KB payload,EBR,1,4120,0,50000,15.4828,11.9,1732.37,14.7813,0.954692,0.00198,2.52525e+07,206000024,12.9,19.3,30.7,45.2,172.497,367.994,60646.6
Coordinated Omission Corrected,EBR,2,88,0,100008,4.8335,1,8492.27,78.4774,16.2361,0.00708943,1.41066e+07,8800752,2.1,3.3,6.4,26.2,237.897,4119.14,999.043
