Benchmark,Queue_Type,Threads,Payload_Size,Duration_Sec,Total_Enqueue_Ops,Total_Dequeue_Ops,Enqueue_Ops_Per_Sec,Dequeue_Ops_Per_Sec,Total_Ops_Per_Sec,Ops_Per_Thread_Per_Sec,Avg_Queue_Size,Max_Queue_Size,Total_Bytes_Transferred,Bandwidth_MB_Per_Sec,CPU_Efficiency,Memory_Efficiency
Single Thread (1P/1C),EBR,2,4,5.00019,23556030,23557344,4.71103e+06,4.71129e+06,9.42231e+06,4.71116e+06,2.49155e+06,5.65513e+06,188453496,35.9433,588895,436772
MPSC (2P/1C),EBR,3,4,5.00022,20973782,22571650,4.19457e+06,4.51413e+06,8.70871e+06,2.9029e+06,4.33694e+06,7.92176e+06,174181728,33.2211,544294,288185
MPSC (4P/1C),EBR,5,4,5.00014,12447125,12842780,2.48936e+06,2.56848e+06,5.05784e+06,1.01157e+06,1.88566e+06,4.81257e+06,101159620,19.2941,316115,275504
MPSC (8P/1C),EBR,9,4,5.00012,8426234,8837534,1.68521e+06,1.76746e+06,3.45267e+06,383630,1.11591e+06,2.06602e+06,69055072,13.1709,215792,438088
SPMC (1P/2C),EBR,3,4,5.00013,19400419,19400675,3.87999e+06,3.88004e+06,7.76002e+06,2.58667e+06,237.444,5563,155204376,29.6021,485001,3.65674e+08
SPMC (1P/4C),EBR,5,4,5.00016,15822694,15822695,3.16444e+06,3.16444e+06,6.32888e+06,1.26578e+06,337.621,15006,126581556,24.1427,395555,1.10561e+08
SPMC (1P/8C),EBR,9,4,5.00015,15502061,15502190,3.10032e+06,3.10035e+06,6.20067e+06,688963,182.822,899,124017004,23.6537,387542,1.80808e+09
MPMC (2P/2C),EBR,4,4,5.0002,11951305,11951532,2.39016e+06,2.39021e+06,4.78037e+06,1.19509e+06,30046.4,454735,95611348,18.2357,298773,2.75577e+06
MPMC (4P/4C),EBR,8,4,5.00014,8957672,8957815,1.79148e+06,1.79151e+06,3.583e+06,447875,22.5942,641,71661948,13.668,223937,1.46531e+09
MPMC (8P/8C),EBR,16,4,5.0004,7281839,7281843,1.45625e+06,1.45625e+06,2.9125e+06,182031,35.9273,1525,58254728,11.1103,182031,5.00652e+08
Scale 2 threads,EBR,2,4,5.00017,25669286,27022986,5.13368e+06,5.40441e+06,1.05381e+07,5.26905e+06,1.14611e+06,4.61519e+06,210769088,40.1996,658631,598566
Scale 4 threads,EBR,4,4,5.00012,14805860,14806731,2.9611e+06,2.96128e+06,5.92238e+06,1.48059e+06,85947.6,906984,118450364,22.5921,370149,1.71173e+06
Scale 8 threads,EBR,8,4,5.00014,10137540,10137692,2.02745e+06,2.02748e+06,4.05493e+06,506866,240.532,17525,81100928,15.4683,253433,6.06548e+07
Scale 16 threads,EBR,16,4,5.00023,7919947,7919948,1.58392e+06,1.58392e+06,3.16783e+06,197990,33.6594,2725,63359580,12.0843,197990,3.04745e+08
4B Payload (4P/4C),EBR,8,24,5.00016,9754576,9754838,1.95085e+06,1.95091e+06,3.90176e+06,487720,2152.51,178920,468225936,89.3042,243860,952775
64B Payload (4P/4C),EBR,8,80,5.00013,8484680,8484907,1.69689e+06,1.69694e+06,3.39383e+06,424229,488.542,54343,1357566960,258.929,212114,818571
256B Payload (4P/4C),EBR,8,272,5.00021,6960910,7405674,1.39212e+06,1.48107e+06,2.8732e+06,359149,0,0,3907710848,745.305,179575,0
1KB Payload (4P/4C),EBR,8,1040,5.00013,5071513,5071513,1.01428e+06,1.01428e+06,2.02855e+06,253569,42.9365,152,10548747040,2011.96,126785,1.34558e+07
