Benchmark,Multi-producer (8P)
Bucket,Count
0,6683
1,8164
2,7680
3,7680
4,7168
5,6144
6,5632
7,5632
8,5632
9,5122
10,5835
11,5427
12,5632
13,5632
14,5159
15,5593
16,5632
17,5166
18,5586
19,5741
20,6035
21,4790
22,9546
23,9728
24,11264
25,11776
26,12288
27,12288
28,10748
29,11780
30,10752
31,10240
32,10752
33,9218
34,9726
35,11264
36,10240
37,10752
38,11264
39,11264
40,10763
41,11765
42,11264
43,12290
44,11858
45,11692
46,10752
47,10240
48,9717
49,10251
50,10719
51,11809
52,12288
53,12345
54,12231
55,12800
56,12800
57,2050
58,12798
59,12800
60,12288
61,12288
62,12799
63,12289
64,13187
65,12413
66,12288
67,12288
68,6144
69,8192
70,6656
71,9292
72,12212
73,10752
74,11264
75,11264
76,11446
77,11594
78,10240
79,11776
80,11264
81,11776
82,11776
83,12800
84,12800
85,12288
86,11776
87,11776
88,11776
89,11776
90,11776
91,10752
92,10240
93,11776
94,11264
95,11776
96,13312
97,13312
98,15424
99,1
