Benchmark,Queue_Type,Threads,Payload_Size,Queue_Depth,Sample_Count,Mean_Latency_us,Min_Latency_us,Max_Latency_us,Std_Dev_us,Jitter,Avg_Hazard_Scans,Scan_Efficiency,Memory_Overhead_bytes,P50_us,P90_us,P95_us,P99_us,P99_9_us,P99_99_us,Throughput_ops_per_sec
Single-threaded latency,HP,1,88,0,1000000,1.95713,0.299,1483.98,35.7579,18.2706,0.003995,2.50313e+08,88000016,0.4,0.4,0.4,0.7,786.687,891.286,478174
Multi-producer (2P),HP,3,88,0,1000000,720981,7.4,1.39973e+06,414883,0.575442,0.019749,5.06355e+07,88000048,707430,1.28696e+06,1.34497e+06,1.38815e+06,1.39847e+06,1.39929e+06,446351
Multi-producer (4P),HP,5,88,0,1000000,760420,63.899,1.45997e+06,415139,0.545934,0.034398,2.90715e+07,88000080,748859,1.33134e+06,1.40345e+06,1.45025e+06,1.45938e+06,1.45983e+06,515769
Multi-producer (8P),HP,9,88,0,1000000,910601,10.1,1.65381e+06,453877,0.498436,0.076437,1.30827e+07,88000144,923304,1.51672e+06,1.59236e+06,1.64426e+06,1.65342e+06,1.65376e+06,471952
Queue depth 0,HP,1,88,0,100000,1.8736,0.2,922.085,34.7814,18.5639,0.00395,2.53165e+07,8800016,0.3,0.4,0.4,0.4,774.088,844.686,509951
Queue depth 10,HP,1,88,10,100000,1.88093,0.199,924.085,34.8452,18.5255,0.00393,2.54453e+07,8800016,0.3,0.4,0.5,0.5,780.588,843.386,506552
Queue depth 100,HP,1,88,100,100000,1.86649,0.199,912.885,34.2607,18.3557,0.00406,2.46305e+07,8800016,0.3,0.4,0.5,0.6,765.788,836.187,509656
Queue depth 1000,HP,1,88,1000,100000,1.90183,0.2,1003.68,34.8056,18.3011,0.00417,2.39808e+07,8800016,0.3,0.4,0.4,0.6,782.088,859.386,501227
Queue depth 10000,HP,1,88,10000,100000,1.94609,0.2,1160.48,35.6727,18.3305,0.00513,1.94932e+07,8800016,0.3,0.4,0.4,0.6,800.987,847.986,490044
Burst latency (burst=100),HP,2,88,0,1000,74.7853,0.3,775.787,218.31,2.91916,0.018,55555.6,88032,4.5,25.599,772.687,775.187,775.687,775.687,998.008
Burst latency (burst=1000),HP,2,88,0,10000,1096.12,0.3,3172.65,705.417,0.643559,0.0144,694444,880032,951.185,1731.77,1962.17,3163.75,3172.25,3172.65,9958.12
Burst latency (burst=10000),HP,2,88,0,100000,7893,0.3,17290.7,4523.84,0.573147,0.01567,6.38162e+06,8800032,7831.47,13996.3,14843.3,16490,17287.1,17290.2,97181.2
16B payload,HP,1,40,0,100000,1.90331,0.199,1352.58,37.1152,19.5004,0.00428,2.33645e+07,4000016,0.2,0.3,0.4,0.6,802.388,986.084,494548
256B payload,HP,1,280,0,100000,2.31649,0.599,1615.97,35.3555,15.2625,0.00387,2.58398e+07,28000016,0.7,0.8,0.8,1.1,765.988,948.584,403361
1KB payload,HP,1,1048,0,100000,4.48649,2.499,1320.48,36.6389,8.1665,0.00426,2.34742e+07,104800016,2.7,2.8,2.9,6,801.587,964.985,207685
4KB payload,HP,1,4120,0,50000,11.9616,9.499,984.385,35.0967,2.93411,0.00462,1.08225e+07,206000016,9.7,10.3,12,28.499,791.487,880.686,78386.2
Coordinated Omission Corrected,HP,2,88,0,100009,5.50113,0.8,7731.28,81.785,14.867,0,0,8800824,1.7,3.1,3.899,16,871.686,3810.64,999.097
