Benchmark,Queue_Type,Threads,Payload_Size,Duration_Sec,Total_Enqueue_Ops,Total_Dequeue_Ops,Enqueue_Ops_Per_Sec,Dequeue_Ops_Per_Sec,Total_Ops_Per_Sec,Ops_Per_Thread_Per_Sec,Avg_Queue_Size,Max_Queue_Size,Total_Bytes_Transferred,Bandwidth_MB_Per_Sec,Avg_Scans_Per_Op,Scan_Efficiency,Total_Retirements,Retirement_Rate,CPU_Efficiency,Memory_Efficiency
Single Thread (1P/1C),HP,2,4,5.00019,26595618,32273540,5.31892e+06,6.45446e+06,1.17734e+07,5.88669e+06,1.16895e+07,2.43506e+07,235476632,44.9119,0,0,0,0,735837,126745
MPSC (2P/1C),HP,3,4,5.00012,25879187,31199724,5.17571e+06,6.2398e+06,1.14155e+07,3.80517e+06,1.1838e+07,2.38747e+07,228315644,43.5467,0,0,0,0,713470,125342
MPSC (4P/1C),HP,5,4,5.00019,12969357,14904474,2.59378e+06,2.98078e+06,5.57456e+06,1.11491e+06,5.51952e+06,1.13282e+07,111495324,21.2653,0,0,0,0,348410,129000
MPSC (8P/1C),HP,9,4,5.00017,7763203,9118712,1.55259e+06,1.82368e+06,3.37627e+06,375141,3.17746e+06,6.33996e+06,67527660,12.8794,0,0,0,0,211017,139602
SPMC (1P/2C),HP,3,4,5.00014,24808485,28743922,4.96156e+06,5.74863e+06,1.07102e+07,3.57006e+06,1.0471e+07,2.02947e+07,214209628,40.8561,0,0,0,0,669387,138342
SPMC (1P/4C),HP,5,4,5.00015,15598318,18897426,3.11957e+06,3.77937e+06,6.89894e+06,1.37979e+06,4.40866e+06,8.18508e+06,137982976,26.3174,0,0,0,0,431184,220953
SPMC (1P/8C),HP,9,4,5.00016,9008402,10075249,1.80162e+06,2.01499e+06,3.81661e+06,424068,14983.3,119456,76334604,14.5592,0,0,0,0,238538,8.37548e+06
MPMC (2P/2C),HP,4,4,5.00014,21539597,25351177,4.3078e+06,5.0701e+06,9.3779e+06,2.34447e+06,8.72482e+06,1.78889e+07,187563096,35.7738,0,0,0,0,586119,137424
MPMC (4P/4C),HP,8,4,5.00015,9439785,10671557,1.8879e+06,2.13425e+06,4.02214e+06,502768,2.02241e+06,4.05695e+06,80445368,15.3433,0,0,0,0,251384,259895
MPMC (8P/8C),HP,16,4,5.00009,7082355,7563011,1.41644e+06,1.51257e+06,2.92902e+06,183064,204455,829698,58581464,11.1733,0,0,0,0,183064,925427
Scale 2 threads,HP,2,4,5.00012,27548649,32497651,5.5096e+06,6.49938e+06,1.2009e+07,6.00449e+06,1.28047e+07,2.51952e+07,240185200,45.8106,0,0,0,0,750561,124948
Scale 4 threads,HP,4,4,5.00016,23253797,27229748,4.65061e+06,5.44578e+06,1.00964e+07,2.5241e+06,1.00344e+07,1.96601e+07,201934180,38.5147,0,0,0,0,631025,134623
Scale 8 threads,HP,8,4,5.00015,8930650,9800234,1.78608e+06,1.95999e+06,3.74607e+06,468258,1.90415e+06,3.65886e+06,74923536,14.2901,0,0,0,0,234129,268392
Scale 16 threads,HP,16,4,5.00009,5522518,5657367,1.10448e+06,1.13145e+06,2.23594e+06,139746,0.463516,568,44719540,8.52942,0,0,0,0,139746,1.03193e+09
4B Payload (4P/4C),HP,8,24,5.00016,8547205,9091605,1.70939e+06,1.81826e+06,3.52765e+06,440956,1.73053e+06,3.65911e+06,423331440,80.7415,0,0,0,0,220478,42121
64B Payload (4P/4C),HP,8,80,5.00346,9077714,10103238,1.81429e+06,2.01925e+06,3.83354e+06,479192,2.32821e+06,4.18839e+06,1534476160,292.476,0,0,0,0,239596,11996.7
256B Payload (4P/4C),HP,8,272,5.00013,7355964,8877262,1.47115e+06,1.7754e+06,3.24656e+06,405820,3.33222e+06,6.61311e+06,4415437472,842.155,0,0,0,0,202910,1892.55
1KB Payload (4P/4C),HP,8,1040,5.00014,2847318,3216696,569448,643322,1.21277e+06,151596,1.08428e+06,2.15683e+06,6306574560,1202.85,0,0,0,0,75798.1,566.93
HP Contention 4 threads,HP,4,4,5.00017,22174809,25550425,4.43481e+06,5.10991e+06,9.54472e+06,2.38618e+06,9.16611e+06,1.84479e+07,190900936,36.4102,0,0,0,0,596545,135631
HP Contention 16 threads,HP,16,4,5.00042,8453829,9015310,1.69062e+06,1.80291e+06,3.49353e+06,218346,907410,2.02759e+06,69876556,13.3268,0,0,0,0,218346,451674
